snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.05536666666666667,0.8005333333333334,0.0004041451884327376,0.004649014232429608,0.0004573333333333328,1661,30000,alamouti_2x1,100000,42|43|44
2.0,0.03546666666666667,0.7834,0.0011846237095944592,0.005800000000000027,0.0013405279225406374,1064,30000,alamouti_2x1,100000,42|43|44
4.0,0.021083333333333332,0.7717333333333333,0.0009251126057585265,0.006014427099344807,0.0010468634634521869,834,40000,alamouti_2x1,100000,42|43|44
6.0,0.0113,0.7606333333333333,0.0006500000000000004,0.0028988503468329375,0.0007355442429475838,678,60000,alamouti_2x1,100000,42|43|44
8.0,0.006108333333333334,0.7555333333333333,0.00024022558842332612,0.001782086791750962,0.00027184084395918945,733,120000,alamouti_2x1,100000,42|43|44
10.0,0.002801190476190476,0.7529130952380952,0.0001575616713293839,0.0011100901630354588,0.0001782978157777348,643,230000,alamouti_2x1,100000,42|43|44
12.0,0.001217824074074074,0.7523870370370371,5.4998655520417066e-05,0.000894536457195044,6.223683759676937e-05,632,520000,alamouti_2x1,100000,42|43|44
14.0,0.0004950000000000001,0.7518266666666666,4.5825756949558415e-05,0.0011806918875529547,5.1856725696865996e-05,297,600000,alamouti_2x1,100000,42|43|44
16.0,0.0002016666666666667,0.75156,2.2546248764114462e-05,0.001187728925302386,2.5513482274628396e-05,121,600000,alamouti_2x1,100000,42|43|44
18.0,0.00010333333333333333,0.7514600000000001,2.2546248764114472e-05,0.001179321839024467,2.5513482274628407e-05,62,600000,alamouti_2x1,100000,42|43|44
20.0,4.333333333333334e-05,0.7514033333333333,1.0408329997330666e-05,0.0011607038094764881,1.1778134166515701e-05,26,600000,alamouti_2x1,100000,42|43|44
22.0,1.1666666666666668e-05,0.75137,7.637626158259733e-06,0.0011639587621561222,8.64278761614433e-06,7,600000,alamouti_2x1,100000,42|43|44
24.0,6.6666666666666675e-06,0.7513633333333333,7.637626158259733e-06,0.0011607038094765519,8.64278761614433e-06,4,600000,alamouti_2x1,100000,42|43|44
26.0,3.3333333333333337e-06,0.7513633333333333,5.773502691896258e-06,0.0011607038094765519,6.533333333333334e-06,2,600000,alamouti_2x1,100000,42|43|44
28.0,1.6666666666666669e-06,0.75136,2.886751345948129e-06,0.0011632282665066302,3.266666666666667e-06,1,600000,alamouti_2x1,100000,42|43|44
30.0,1.6666666666666669e-06,0.75136,2.886751345948129e-06,0.0011632282665066302,3.266666666666667e-06,1,600000,alamouti_2x1,100000,42|43|44
