snr_db,ber,ser,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.09333333333333334,1.0,2800,30000,mrc_2x1,100000,42|43|44
2.0,0.06880000000000001,1.0,2064,30000,mrc_2x1,100000,42|43|44
4.0,0.04643333333333333,1.0,1393,30000,mrc_2x1,100000,42|43|44
6.0,0.028233333333333333,1.0,847,30000,mrc_2x1,100000,42|43|44
8.0,0.015983333333333336,1.0,959,60000,mrc_2x1,100000,42|43|44
10.0,0.008144444444444445,1.0,733,90000,mrc_2x1,100000,42|43|44
12.0,0.0038722222222222226,1.0,615,160000,mrc_2x1,100000,42|43|44
14.0,0.0017845959595959597,1.0,606,340000,mrc_2x1,100000,42|43|44
16.0,0.0008016666666666667,1.0,481,600000,mrc_2x1,100000,42|43|44
18.0,0.0003416666666666666,1.0,205,600000,mrc_2x1,100000,42|43|44
20.0,0.0001566666666666667,1.0,94,600000,mrc_2x1,100000,42|43|44
22.0,6.666666666666666e-05,1.0,40,600000,mrc_2x1,100000,42|43|44
24.0,2.5e-05,1.0,15,600000,mrc_2x1,100000,42|43|44
26.0,1e-05,1.0,6,600000,mrc_2x1,100000,42|43|44
28.0,3.3333333333333337e-06,1.0,2,600000,mrc_2x1,100000,42|43|44
30.0,0.0,1.0,0,600000,mrc_2x1,100000,42|43|44
