snr_db,ber,ser,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.10353333333333332,1.0,3106,30000,siso,100000,42|43|44
2.0,0.08020000000000001,1.0,2406,30000,siso,100000,42|43|44
4.0,0.06010000000000001,1.0,1803,30000,siso,100000,42|43|44
6.0,0.044000000000000004,1.0,1320,30000,siso,100000,42|43|44
8.0,0.03166666666666667,1.0,950,30000,siso,100000,42|43|44
10.0,0.021333333333333333,1.0,640,30000,siso,100000,42|43|44
12.0,0.014249999999999999,1.0,855,60000,siso,100000,42|43|44
14.0,0.009544444444444444,1.0,859,90000,siso,100000,42|43|44
16.0,0.0059833333333333336,1.0,718,120000,siso,100000,42|43|44
18.0,0.0036333333333333335,1.0,654,180000,siso,100000,42|43|44
20.0,0.002393055555555556,1.0,621,260000,siso,100000,42|43|44
22.0,0.0014908424908424908,1.0,624,420000,siso,100000,42|43|44
24.0,0.0009675438596491228,1.0,570,590000,siso,100000,42|43|44
26.0,0.000625,1.0,375,600000,siso,100000,42|43|44
28.0,0.00038833333333333336,1.0,233,600000,siso,100000,42|43|44
30.0,0.00025,1.0,150,600000,siso,100000,42|43|44
