snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.08773333333333333,0.8302,0.003785938897200178,0.00423320209770334,0.0042841931692106355,2632,30000,mrc_3x1,100000,42|43|44
2.0,0.06323333333333334,0.8092,0.002571640202931456,0.00430348695827003,0.002910084840305826,1897,30000,mrc_3x1,100000,42|43|44
4.0,0.04136666666666666,0.7902666666666667,0.0010785793124908963,0.004244211744639196,0.0012205273905616018,1241,30000,mrc_3x1,100000,42|43|44
6.0,0.0241,0.7737333333333334,0.0012489995996796792,0.0061329710037903535,0.0014133760999818833,723,30000,mrc_3x1,100000,42|43|44
8.0,0.01215,0.7633333333333333,0.0005220153254455269,0.003547299442298802,0.0005907159497874867,729,60000,mrc_3x1,100000,42|43|44
10.0,0.004934999999999999,0.7571133333333333,0.00016575584454250807,0.001748180005987183,0.00018757039567408678,689,140000,mrc_3x1,100000,42|43|44
12.0,0.0018349999999999998,0.7514333333333333,0.00017137515702237728,0.00208573195252357,0.00019392924635699648,620,340000,mrc_3x1,100000,42|43|44
14.0,0.000635,0.7501033333333332,4.3588989435406725e-05,0.001220423423789201,4.9325584977102226e-05,381,600000,mrc_3x1,100000,42|43|44
16.0,0.00018666666666666666,0.7496666666666667,2.3629078131263033e-05,0.001261322057736801,2.6738819054783327e-05,112,600000,mrc_3x1,100000,42|43|44
18.0,4.333333333333334e-05,0.7495266666666667,2.8867513459481285e-06,0.0011958400115957386,3.266666666666666e-06,26,600000,mrc_3x1,100000,42|43|44
20.0,1.5e-05,0.7494966666666666,5e-06,0.0011925742464657541,5.658032638058333e-06,9,600000,mrc_3x1,100000,42|43|44
22.0,3.3333333333333337e-06,0.7494833333333334,5.773502691896258e-06,0.0011839059647342398,6.533333333333334e-06,2,600000,mrc_3x1,100000,42|43|44
24.0,1.6666666666666669e-06,0.74948,2.886751345948129e-06,0.0011882339836917833,3.266666666666667e-06,1,600000,mrc_3x1,100000,42|43|44
26.0,0.0,0.74948,0.0,0.0011882339836917833,0.0,0,600000,mrc_3x1,100000,42|43|44
28.0,0.0,0.74948,0.0,0.0011882339836917833,0.0,0,600000,mrc_3x1,100000,42|43|44
30.0,0.0,0.74948,0.0,0.0011882339836917833,0.0,0,600000,mrc_3x1,100000,42|43|44
