snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.1548,0.2717333333333334,0.0016000000000000042,0.0022030282189144487,0.0018105704441786711,4644,30000,mrc_3x1,100000,42|43|44
2.0,0.11416666666666668,0.20199999999999999,0.0018929694486000928,0.004103656905736631,0.002142096584605322,3425,30000,mrc_3x1,100000,42|43|44
4.0,0.08253333333333333,0.14793333333333333,0.000832666399786448,0.00110151410945722,0.0009422507333212502,2476,30000,mrc_3x1,100000,42|43|44
6.0,0.056566666666666675,0.10246666666666666,0.0007505553499465107,0.002968725877094976,0.0008493333333333302,1697,30000,mrc_3x1,100000,42|43|44
8.0,0.038,0.06860000000000001,0.0012288205727444493,0.003704051835490429,0.0013905413813811258,1140,30000,mrc_3x1,100000,42|43|44
10.0,0.0244,0.044466666666666675,0.0011135528725660048,0.003189566323708182,0.0012601036994364133,732,30000,mrc_3x1,100000,42|43|44
12.0,0.015883333333333333,0.029166666666666664,0.0005392896562454482,0.0014011899704655802,0.0006102636952808009,953,60000,mrc_3x1,100000,42|43|44
14.0,0.009883333333333333,0.018288888888888886,0.0006048415770541351,0.0014084401668880728,0.0006844426767653941,685,70000,mrc_3x1,100000,42|43|44
16.0,0.006058333333333332,0.010966666666666666,0.00038269875010683445,0.000633113997107419,0.00043306440372971983,727,120000,mrc_3x1,100000,42|43|44
18.0,0.0039922222222222225,0.007251111111111111,0.0002550453844870518,0.00040410852961018234,0.0002886110219227751,636,160000,mrc_3x1,100000,42|43|44
20.0,0.0026992724867724873,0.004838095238095238,0.0003454373816654553,0.0004583317872577508,0.0003908991959737118,641,240000,mrc_3x1,100000,42|43|44
22.0,0.0016886752136752135,0.003084615384615385,7.595635418134281e-05,0.00011446930402846017,8.595270620519123e-05,624,370000,mrc_3x1,100000,42|43|44
24.0,0.0011026831785345716,0.002036532507739938,6.524236788056138e-05,9.07770348241877e-05,7.382868937048498e-05,605,550000,mrc_3x1,100000,42|43|44
26.0,0.00071,0.0013033333333333334,3.2787192621509986e-05,5.131601439446889e-05,3.710220119256177e-05,426,600000,mrc_3x1,100000,42|43|44
28.0,0.00045000000000000004,0.0008233333333333334,5.26782687642637e-05,8.504900548115383e-05,5.961107279692256e-05,270,600000,mrc_3x1,100000,42|43|44
30.0,0.00029833333333333334,0.0005433333333333333,2.75378527364305e-05,3.0550504633038905e-05,3.1162013912953544e-05,179,600000,mrc_3x1,100000,42|43|44
