snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.1166,0.2138,0.00635531273817426,0.012346659467240522,0.0071917133795315665,3498,30000,alamouti_2x1,100000,42|43|44
2.0,0.07446666666666667,0.13893333333333335,0.0026501572280401326,0.005445487428443235,0.0029989352184474536,2234,30000,alamouti_2x1,100000,42|43|44
4.0,0.043333333333333335,0.082,0.002454248017893327,0.004703190406521936,0.002777243077426083,1300,30000,alamouti_2x1,100000,42|43|44
6.0,0.023533333333333333,0.044866666666666666,0.0017009801096230753,0.0030615900008546756,0.0019248401953870801,706,30000,alamouti_2x1,100000,42|43|44
8.0,0.0118,0.022533333333333332,0.000953939201416946,0.0014294521094927713,0.0010794838272680763,708,60000,alamouti_2x1,100000,42|43|44
10.0,0.005925,0.011333333333333334,0.000373329613076702,0.0005346338310781816,0.0004224622271083338,711,120000,alamouti_2x1,100000,42|43|44
12.0,0.0025300925925925925,0.004866666666666667,0.00016937802280418059,0.0002897556441785618,0.00019166927623916847,631,250000,alamouti_2x1,100000,42|43|44
14.0,0.0011175438596491229,0.0021298245614035085,5.6215684105305664e-05,0.00012941825678243794,6.36140350877193e-05,614,550000,alamouti_2x1,100000,42|43|44
16.0,0.0004516666666666667,0.0008566666666666667,3.785938897200183e-05,9.073771725877468e-05,4.284193169210642e-05,271,600000,alamouti_2x1,100000,42|43|44
18.0,0.00020166666666666664,0.00039333333333333337,3.214550253664318e-05,7.371114795831994e-05,3.637606050382281e-05,121,600000,alamouti_2x1,100000,42|43|44
20.0,8.833333333333333e-05,0.00017333333333333336,1.527525231651947e-05,3.5118845842842475e-05,1.7285575232288663e-05,53,600000,alamouti_2x1,100000,42|43|44
22.0,3.1666666666666666e-05,6.333333333333333e-05,1.607275126832159e-05,3.214550253664318e-05,1.8188030251911405e-05,19,600000,alamouti_2x1,100000,42|43|44
24.0,1.1666666666666668e-05,2.3333333333333336e-05,5.773502691896258e-06,1.1547005383792516e-05,6.533333333333334e-06,7,600000,alamouti_2x1,100000,42|43|44
26.0,0.0,0.0,0.0,0.0,0.0,0,600000,alamouti_2x1,100000,42|43|44
28.0,0.0,0.0,0.0,0.0,0.0,0,600000,alamouti_2x1,100000,42|43|44
30.0,0.0,0.0,0.0,0.0,0.0,0,600000,alamouti_2x1,100000,42|43|44
