snr_db,ber,ser,ber_std,ser_std,ber_ci95,bit_errors,total_bits,scheme,n_symbols,seeds
0.0,0.2118,0.3658666666666666,0.003214031735997639,0.0054123315986119485,0.0036370192924059853,6354,30000,siso,100000,42|43|44
2.0,0.1673,0.29233333333333333,0.003304542328371667,0.004670474636836526,0.0037394416695544336,5019,30000,siso,100000,42|43|44
4.0,0.12766666666666668,0.22573333333333334,0.003911947511576975,0.005608327142146154,0.00442678533977472,3830,30000,siso,100000,42|43|44
6.0,0.09223333333333333,0.16513333333333333,0.005002332789142819,0.007100234737903611,0.0056606724374798885,2767,30000,siso,100000,42|43|44
8.0,0.0646,0.1158,0.003843175770115132,0.006557438524302007,0.004348962788221277,1938,30000,siso,100000,42|43|44
10.0,0.04376666666666667,0.07793333333333333,0.0022300971578236984,0.00350047615808669,0.0025235925010015222,1313,30000,siso,100000,42|43|44
12.0,0.02903333333333333,0.052199999999999996,0.002550163393458024,0.0046130250378683185,0.0028857815425134188,871,30000,siso,100000,42|43|44
14.0,0.01995,0.036066666666666664,0.0019981241202688097,0.003682843104631711,0.0022610902974745037,976,50000,siso,100000,42|43|44
16.0,0.012483333333333334,0.022699999999999998,0.0006788470618138766,0.0013000000000000002,0.0007681877663985832,749,60000,siso,100000,42|43|44
18.0,0.008044444444444444,0.014622222222222222,0.0008655976312694364,0.0015352644843925226,0.0009795159298296907,724,90000,siso,100000,42|43|44
20.0,0.004968333333333332,0.009063333333333333,0.0006117665676819332,0.0011238475578713215,0.00069227904136346,639,130000,siso,100000,42|43|44
22.0,0.003203174603174603,0.005834920634920635,0.0003187394863619642,0.0006075364426110828,0.00036068768337478845,637,200000,siso,100000,42|43|44
24.0,0.002041077441077441,0.003682154882154882,0.00020503889436534808,0.0004124891075951433,0.00023202335127810685,628,310000,siso,100000,42|43|44
26.0,0.0012453159041394336,0.0022553104575163394,5.557605670688044e-05,0.00011667910970608421,6.289022854842205e-05,634,510000,siso,100000,42|43|44
28.0,0.0008033333333333334,0.0014166666666666668,6.448514040717702e-05,0.00013316656236958785,7.297180581871635e-05,482,600000,siso,100000,42|43|44
30.0,0.00051,0.0009199999999999999,7.858116822750854e-05,0.0001322875655532296,8.892296291359917e-05,306,600000,siso,100000,42|43|44
